Atlético-GO,acgoficial
Atlético-MG,sitedogalo
Bahia,ecbahia_oficial
Botafogo,BotafogoOficial
Corinthians,SiteCorinthians
Coritiba,coritiba
Cruzeiro,Cruzeirtooficial
Figueirense,figueirensefc
Flamengo,CR_Flamengo
Fluminense,OficialFlu
Grêmio,gremiooficial
Internacional,assessoriainter
Náutico,nauticope
Palmeiras,SitePalmeiras
Ponte Preta,aapp_oficial
Portuguesa,lusa_oficial
Santos,santosfc
São Paulo,Saopaulofc
Sport,sportrecife
Vasco,crvascodagama
ABC,abcfc
América-MG,coelhaonews
América-RN,americafcnatal
ASA,ASA_Arapiraca
Avaí,avaifc
Atlético-PR,atleticopr
Boa Esporte,boa_esporte
Bragantino,sigaBraga
Ceará,CearaSC
CRB,crb_alagoas
Criciúma,CriciumaEC
Goiás,SigaGoias
Grêmio Barueri,sigaBarueriSP
Guarani,guarani_oficial
Guaratinguetá,SigaAmericana
Ipatinga,sigaIpatinga
Joinville,jec_online
Paraná,paranaclube
São Caetano,social_adscs
Vitória,ecvitoria
